n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;2;0.0;0.0;91160.0;ideal
3;60;4;0.0;0.0;0.0;f
4;80;11;0.0;0.0;0.0;f
5;100;20;0.0;0.0;0.0;f
6;120;20;0.0;0.0;0.0;f
7;140;1;0.0;0.0;1296088.753459122;ideal
8;160;5;0.0;0.0;0.0;f
9;180;15;0.0;0.0;0.0;f
10;200;20;0.0;0.0;0.0;f
