Parâmetro Observado;Valor
Corrente Máxima;2090,35 A
Corrente Mínima;-1399,26 A
Tensão Máxima;1580,95 V
Tensão Mínima;5,37 V
Potência Máxima;1376,42 kW
Potência Mínima;-1879,15 kW
Energia Consumida;99,28 kWh
Energia Dissipada;-50,95 kWh
Média Potência Consumida;683,38 kW
Média Potência Dissipada;-475,21 kW
Tempo de Potência Consumida;523 s
Tempo de Potência Dissipada;386 s
Relação entre Dissipada e Consumida;0,51
