n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;587490.5887954747;ideal
3;60;1;0.0;0.0;0.0;f
4;80;2;0.0;0.0;182715.45127344504;ideal
5;100;4;0.0;0.0;0.0;f
6;120;1;0.0;0.0;475576.159831889;ideal
7;140;2;0.0;0.0;0.0;f
8;160;4;0.0;0.0;0.0;f
9;180;10;0.0;0.0;0.0;f
10;200;1;0.0;0.0;8538.340335927904;ideal
