n_gen;n_evals;n_nds;eps
1;20;1;0.0
2;40;1;106361.43219368532
3;60;2;0.0
4;80;1;64391.09194200486
5;100;3;38365.627273041755
6;120;2;70166.37272695452
7;140;4;0.0
8;160;11;0.0
9;180;20;0.0
10;200;20;0.0
