n_gen;n_evals;n_nds;eps
1;20;1;0.0
2;40;1;255.78325822670013
3;60;1;28226.673847522587
4;80;1;0.0
5;100;1;0.0
6;120;1;3897.4370136205107
7;140;3;0.0
8;160;12;0.0
9;180;20;0.0
10;200;20;0.0
